id,subject,sentence,gender
1_SUB9,SUB9,hasilnya sedikit mengejutkan,female
4_SUB9,SUB9,saya tidak berpikir demikian,female
5_SUB9,SUB9,pekerjaan sangat sibuk mohon pengertiannya,female
6_SUB9,SUB9,aku merindukanmu kawan,female
7_SUB9,SUB9,jangan percaya padanya dia seorang penipu,female
8_SUB9,SUB9,anda terlihat sangat tertekan,female
9_SUB9,SUB9,saya suka mencoba resep resep baru,female
10_SUB9,SUB9,dia lupa bersiap siap untuk pidatonya,female
11_SUB9,SUB9,perkataannya membingungkan,female
12_SUB9,SUB9,saya tersesat apakah anda bisa membantu,female
13_SUB9,SUB9,kamu adalah sahabat terbaikku,female
14_SUB9,SUB9,bisa tolong bantu siram bunga,female
16_SUB9,SUB9,terima kasih banyak atas bantuannya,female
17_SUB9,SUB9,maaf membuat semuanya menunggu lama,female
18_SUB9,SUB9,sungguh tak disangka bisa bertemu anda di sini,female
19_SUB9,SUB9,pintunya sudah dibuka,female
20_SUB9,SUB9,kami akan segera mengantarkannya ke atas,female
23_SUB9,SUB9,selamat siang silakan duduk,female
25_SUB9,SUB9,apakah ada yang ingin anda laporkan,female
26_SUB9,SUB9,bolehkah saya berbicara dengan anda,female
27_SUB9,SUB9,dia adalah seorang ilmuwan yang luar biasa,female
28_SUB9,SUB9,mari makan di luar malam ini,female
29_SUB9,SUB9,dia sudah tidak bernapas,female
31_SUB9,SUB9,steak anda tidak begitu segar,female
32_SUB9,SUB9,dia adalah orang yang berpengetahuan luas,female
34_SUB9,SUB9,saya akan datang agak telat nanti,female
35_SUB9,SUB9,dia hanya mencintai uangnya,female
36_SUB9,SUB9,aku akan mencintaimu selamanya,female
37_SUB9,SUB9,saya harap anda beruntung,female
39_SUB9,SUB9,saya akan menantikan kedatangan anda,female
40_SUB9,SUB9,saya baik baik saja terima kasih,female
41_SUB9,SUB9,dia memiliki penggemar di seluruh dunia,female
43_SUB9,SUB9,kami berdua terlalu berbeda,female
44_SUB9,SUB9,apakah anda tertarik dengan komputer,female
45_SUB9,SUB9,museum tidak buka hari ini,female
46_SUB9,SUB9,dia sangat cantik,female
47_SUB9,SUB9,kapan kita akan berangkat,female
48_SUB9,SUB9,anda bisa belajar banyak hal darinya,female
50_SUB9,SUB9,anda boleh pergi,female
51_SUB9,SUB9,saya tidak melakukan apa pun,female
54_SUB9,SUB9,tolong kabari saya kapan saja,female
55_SUB9,SUB9,mohon maaf telah merepotkan anda,female
56_SUB9,SUB9,selamat pagi pak maaf mengganggu,female
57_SUB9,SUB9,apakah ada menu vegetarian,female
62_SUB9,SUB9,selamat datang di kantor kami,female
63_SUB9,SUB9,aku mulai merasa lapar,female
65_SUB9,SUB9,anda berjalan ke arah yang salah,female
66_SUB9,SUB9,temanmu sangat cantik,female
67_SUB9,SUB9,mari kita bicara,female
68_SUB9,SUB9,anda bisa mencoba lagi nanti,female
69_SUB9,SUB9,anda terlihat sangat kelelahan,female
70_SUB9,SUB9,dia benar benar menyalahkan saya,female
71_SUB9,SUB9,di mana saja kamu belakangan ini,female
73_SUB9,SUB9,silakan duduk dan makan buah,female
74_SUB9,SUB9,setiap orang pasti punya masa masa sulit,female
77_SUB9,SUB9,kelihatannya parah sekali,female
78_SUB9,SUB9,dia terlihat agak mabuk,female
79_SUB9,SUB9,dia adalah orang yang sangat serius,female
81_SUB9,SUB9,mari kita makan sesuatu yang enak,female
82_SUB9,SUB9,aku lapar ayo kita pergi makan sesuatu,female
84_SUB9,SUB9,jam berapa perpustakaan tutup,female
86_SUB9,SUB9,mohon maaf karena harus bekerja lembur,female
89_SUB9,SUB9,akan segera saya telepon,female
90_SUB9,SUB9,saya bukan orang yang seperti itu,female
91_SUB9,SUB9,sepertinya kamu sedang flu,female
94_SUB9,SUB9,senang berkenalan dengan anda,female
96_SUB9,SUB9,seperti apa penampilannya,female
97_SUB9,SUB9,maaf teman saya sedang sakit,female
98_SUB9,SUB9,siapa nama anda,female
100_SUB9,SUB9,kedua belah pihak sama kuatnya,female
