Kalimat;Label
Selamat pagi, ada yang bisa dibantu?;6
Selamat datang, ada yang bisa saya bantu?;6
Boleh minta tolong?;6
Kamu terlihat luar biasa;7
Mari kita bicara di luar;9
Maaf, membuat Anda menunggu lama;12
Saya ingin pergi makan sesuatu;13
Sudah waktunya tidur;23
Apakah Anda ingin mencoba hidangan lainnya?;13
Kita pernah bertemu tahun lalu;9
Maaf, kemarin saya tidak masuk kelas;12
Anda seharusnya merasa malu;12
Dia bekerja paling rajin;24
Penjelasan Anda tidak meyakinkan bagi saya;12
Mari ikut saya ke kantor untuk bicara lebih lanjut;5
Saya menikmati waktu yang menyenangkan;9
Kucing itu sangat cantik dan lucu;24
Anda terlihat sangat lelah;7
Pilihan Anda banyak sekali ya;19
Lain kali pasti akan lebih baik;9
Dia sangat tidak bisa diandalkan;24
Kita akan tetap saling berkabar;9
Saya tidak percaya penjelasan Anda;12
Mau tambah nasi lagi?;13
Mengapa dia tidak menang?;24
Mari kita akhiri rapatnya;9
Profesor itu memberikan kesan yang mendalam;24
Apakah sebelumnya kita pernah bertemu?;9
Kami biasanya makan di kantin;13
Layanan makanan tersedia di pesawat;13
Apa yang Anda lakukan di waktu luang?;19
Kapan pesawat akan tiba?;23
Kamu adalah penyelamat hidupku;19
Saya setuju dengan semua kebijakannya;24
Kamu boleh mencobanya;19
Dia adalah pelari terbaik yang pernah saya temui;24
Kamu adalah pahlawanku;19
Kita pergi nanti saja;9
Semoga Anda bersenang-senang;34
Apakah ada restoran Jepang di sekitar sini?;13
Matanya sangat indah;24
Apakah sarapan sudah siap?;13
Aku sedang menelepon teman;9
Berikan mikrofonnya kepada dia;24
Kamu harus pergi melihatnya;19
Kami akan merapikan dokumen besok;23
Konsep lama sulit untuk diubah;24
Apakah ada waktu luang sore ini?;23
Dia sedang mencari tesisnya yang hilang;24
Jangan percaya apa yang dia katakan;24
Dia menolak semua undangan;24
Saya butuh informasi Anda;5
Berharap bisa bertemu lagi di masa depan;9
Saya tidak ingin membuat Anda khawatir;12
Kapan Anda biasanya tidur?;23
Mari kita pergi lebih awal;23
Hari ini hari apa?;23
Bagus sekali, terima kasih banyak;34
Liburan musim dingin akan segera tiba;23
Ingin membungkus sisa makanan;13
Aku akan menjemputmu tepat waktu;23
Saya tidak tahu harus bicara apa;12
Turut berduka mendengar kabar tersebut;12
Makan malam hampir siap;13
Apakah kamu tahu di mana bisa membelinya?;19
Makan malam sudah siap;13
Lama tidak jumpa, apa kabarmu?;9
Semoga lain kali tidak terlewatkan lagi;9
Inspirasi terkadang datang dari tempat-tempat yang aneh;24
Apakah kamu ingin pergi ke restoran ini?;13
Dia selalu meludah sembarangan;24
Cinta terkadang benar-benar buta;24
Kunci pintunya, ayo kita berangkat;9
Sudah siap, mari kita mulai;19
Kejujuran adalah dasar dari persahabatan;24
Mari kita pulang;9
Kucing itu terlalu kotor dan sangat malas;24
Saya ingin tidur lebih awal;23
Bagaimana kalau kita pergi menjenguk teman?;9
Dia sudah punya pacar;24
Bantuan Anda sangat tepat waktu;6
Selamat datang di acara kami;34
Anda terlihat kurang sehat;7
Anda bebas untuk pergi;19
Apakah perasaanmu sudah lebih baik?;7
Keputusan Anda sangat bijaksana;19
Saya tidak tahu ingin makan apa;13
Tapi saya sarankan Anda mengakui kesalahan;12
Saya ada janji temu, mohon tunggu sebentar;5
Saya akan bantu mengetikkan untuk Anda;6
Bolehkah saya bantu?;6
Maaf, Anda menduduki kursi saya;12
Akui kesalahan dan hadapi kenyataan;12
Dia tidak mengatakannya di telepon;24
Sudah larut, saya harus mengejar kereta;23
Minta jus tomat juga;13
Sampai jumpa bulan depan;9
Kamu harus bantu mencuci baju;6
Kalian mau pergi makan siang di mana?;13
Tolong awasi orang itu;24
Dia adalah teman sekamar saya;24
Saya tersesat di dekat rumah Anda;12
Bisa tolong bantu saya menyiram bunga?;6
Dia membuat kesabaran saya habis;24
Apakah kamu sudah makan?;13
Jika Anda bersedia, tinggallah;19
Sudahkah kamu bicara dengannya?;19
Teman sejati terlihat di saat susah;24
Boleh saya minta nomor telepon Anda?;5
Apa rencanamu untuk masa depan?;19
Semoga Anda cepat sembuh;34
Kebetulan sekali bertemu Anda di sini;9
Bantu menyiapkan makan malam;13
Dia adalah laki-laki yang pemalu;24
Bisakah Anda merekomendasikan beberapa hidangan?;13
Saya benar-benar tidak sedang bercanda;12
Saya rasa kita akan bekerja sama dengan baik;9
Apakah kamu serius?;19
Kamu benar-benar koki yang hebat;13
Saya akan berusaha semaksimal mungkin membantu Anda;6
Halo, bisa minta tolong sebentar?;6
Apakah Anda memerlukan bantuan?;6
Penelitian Anda sangat luar biasa;19
Saya ada janji temu malam ini;23
Saya mau masakan Tiongkok, terima kasih;13
Wasit sepertinya agak memihak;24
Kami akan mengabari Anda secepatnya;5
Terkadang memang begitulah kenyataannya;24
Ukuran pancinya pas;13
Anda ada di mana?;19
Bagaimana menurut Anda?;19
Tidak sengaja menabrak orang lain;12
Dia akan merasa sangat senang;24
Maaf telah mengganggu Anda;12
Tolong bantu ambilkan foto kami;6
Sepertinya Anda berjalan ke arah yang berlawanan;12
Sebaiknya kita pergi sekarang;9
Saya menerima pujian ini dengan rendah hati;34
Anda ingin bicara dengan siapa?;5
Bolehkah saya meminjam mobilmu besok?;23
Tidak usah, terima kasih;34
Kamu akan segera sembuh;7
Saya akan tiba tepat waktu;23
Kami akan menunggu Anda;5
Kecewa dengan upaya Anda;12
Kita harus saling membantu;6
Semoga perjalanan Anda menyenangkan;34
Bicaranya tidak ada habisnya;24
Saya sedang belajar memasak;13
Apakah kalian punya keju?;19
Orang sukses juga melakukan kesalahan;24
