id,subject,sentence,gender
1_SUB9,SUB9,hasilnya sedikit mengejutkan,female
5_SUB9,SUB9,pekerjaan sangat sibuk mohon pengertiannya,female
7_SUB9,SUB9,jangan percaya padanya dia seorang penipu,female
9_SUB9,SUB9,saya suka mencoba resep resep baru,female
10_SUB9,SUB9,dia lupa bersiap siap untuk pidatonya,female
11_SUB9,SUB9,perkataannya membingungkan,female
12_SUB9,SUB9,saya tersesat apakah anda bisa membantu,female
13_SUB9,SUB9,kamu adalah sahabat terbaikku,female
14_SUB9,SUB9,bisa tolong bantu siram bunga,female
16_SUB9,SUB9,terima kasih banyak atas bantuannya,female
17_SUB9,SUB9,maaf membuat semuanya menunggu lama,female
18_SUB9,SUB9,sungguh tak disangka bisa bertemu anda di sini,female
20_SUB9,SUB9,kami akan segera mengantarkannya ke atas,female
21_SUB9,SUB9,maaf apakah sekarang sedang luang,female
22_SUB9,SUB9,tersesat butuh bantuan,female
23_SUB9,SUB9,selamat siang silakan duduk,female
24_SUB9,SUB9,saya melewatkan momen yang luar biasa,female
27_SUB9,SUB9,dia adalah seorang ilmuwan yang luar biasa,female
29_SUB9,SUB9,dia sudah tidak bernapas,female
30_SUB9,SUB9,melakukan panggilan internasional,female
31_SUB9,SUB9,steak anda tidak begitu segar,female
33_SUB9,SUB9,manajer itu sangat penuh empati,female
34_SUB9,SUB9,saya akan datang agak telat nanti,female
37_SUB9,SUB9,saya harap anda beruntung,female
38_SUB9,SUB9,hidangan apa ini,female
40_SUB9,SUB9,saya baik baik saja terima kasih,female
41_SUB9,SUB9,dia memiliki penggemar di seluruh dunia,female
42_SUB9,SUB9,orang itu terjatuh,female
43_SUB9,SUB9,kami berdua terlalu berbeda,female
45_SUB9,SUB9,museum tidak buka hari ini,female
46_SUB9,SUB9,dia sangat cantik,female
47_SUB9,SUB9,kapan kita akan berangkat,female
49_SUB9,SUB9,kamu perlu mengambil liburan,female
50_SUB9,SUB9,anda boleh pergi,female
51_SUB9,SUB9,saya tidak melakukan apa pun,female
52_SUB9,SUB9,apakah anda membutuhkan bantuan,female
53_SUB9,SUB9,dia sangat ketat terhadap kami,female
54_SUB9,SUB9,tolong kabari saya kapan saja,female
56_SUB9,SUB9,selamat pagi pak maaf mengganggu,female
57_SUB9,SUB9,apakah ada menu vegetarian,female
60_SUB9,SUB9,saya benar benar suka makanan di sana,female
61_SUB9,SUB9,saya tidak sengaja menumpahkan tinta,female
62_SUB9,SUB9,selamat datang di kantor kami,female
63_SUB9,SUB9,aku mulai merasa lapar,female
69_SUB9,SUB9,anda terlihat sangat kelelahan,female
71_SUB9,SUB9,di mana saja kamu belakangan ini,female
73_SUB9,SUB9,silakan duduk dan makan buah,female
74_SUB9,SUB9,setiap orang pasti punya masa masa sulit,female
76_SUB9,SUB9,semoga anda lekas sembuh,female
77_SUB9,SUB9,kelihatannya parah sekali,female
78_SUB9,SUB9,dia terlihat agak mabuk,female
79_SUB9,SUB9,dia adalah orang yang sangat serius,female
81_SUB9,SUB9,mari kita makan sesuatu yang enak,female
82_SUB9,SUB9,aku lapar ayo kita pergi makan sesuatu,female
84_SUB9,SUB9,jam berapa perpustakaan tutup,female
85_SUB9,SUB9,tentu saja boleh,female
86_SUB9,SUB9,mohon maaf karena harus bekerja lembur,female
87_SUB9,SUB9,berpamitan dengan teman di stasiun kereta,female
89_SUB9,SUB9,akan segera saya telepon,female
92_SUB9,SUB9,berharap bisa bertemu kembali,female
95_SUB9,SUB9,saya yakin anda benar,female
97_SUB9,SUB9,maaf teman saya sedang sakit,female
98_SUB9,SUB9,siapa nama anda,female
100_SUB9,SUB9,kedua belah pihak sama kuatnya,female
