id,subject,sentence,gender
1_SUB2,SUB2,Siapa wanita itu?,male
2_SUB2,SUB2,Anda benar-benar kakek yang murah hati,male
3_SUB2,SUB2,Cobalah besok pagi,male
4_SUB2,SUB2,"Selamat sore, Nona, ada yang bisa dibantu?",male
5_SUB2,SUB2,Untung saja ada orang baik yang menolong,male
6_SUB2,SUB2,Anda ingin menelepon siapa?,male
7_SUB2,SUB2,"Kalau begitu, mari kita mulai",male
8_SUB2,SUB2,Saya ingin makan siang di kamar,male
9_SUB2,SUB2,Dalam beberapa bulan Anda akan membaik,male
10_SUB2,SUB2,Terima kasih telah berkata demikian,male
11_SUB2,SUB2,Tolong segera pergi dari sini,male
12_SUB2,SUB2,"Selamat malam, ada yang bisa dibantu?",male
13_SUB2,SUB2,Lagi sibuk apa belakangan ini?,male
14_SUB2,SUB2,Silakan beri tahu saya nama lengkap Anda,male
15_SUB2,SUB2,Sampaikan salam saya untuk mereka,male
16_SUB2,SUB2,Kami semua sedang menunggumu,male
17_SUB2,SUB2,Aku akan mengajarimu cara membuat omelet,male
18_SUB2,SUB2,Biar saya bantu bukakan pintunya,male
19_SUB2,SUB2,Senang bisa membantu Anda,male
20_SUB2,SUB2,Mari kita makan di luar,male
21_SUB2,SUB2,"Selamat sore, ada yang bisa saya bantu?",male
22_SUB2,SUB2,Apakah Anda sudah makan siang?,male
23_SUB2,SUB2,Silakan tanya saya kapan saja,male
24_SUB2,SUB2,Kita harus memberitahunya,male
25_SUB2,SUB2,Kamu benar-benar menjadi lebih sehat,male
26_SUB2,SUB2,Saya merasa kasihan pada orang tua itu,male
27_SUB2,SUB2,Dia terkena serangan jantung tadi malam,male
28_SUB2,SUB2,Nafsu makan saya cukup baik,male
29_SUB2,SUB2,Menurutku masakan Tiongkok sangat lezat,male
30_SUB2,SUB2,"Saya sangat sibuk hari ini, butuh bantuan",male
31_SUB2,SUB2,Aku akan telepon lagi nanti,male
32_SUB2,SUB2,Saya sangat senang bertemu teman lama,male
33_SUB2,SUB2,Saya tidak punya waktu luang sama sekali,male
34_SUB2,SUB2,Kita bisa melakukannya besok,male
35_SUB2,SUB2,Dia bukan orang yang penting,male
36_SUB2,SUB2,Senang bertemu dengan Anda lagi,male
37_SUB2,SUB2,Apa yang bisa kami lakukan untuk Anda?,male
38_SUB2,SUB2,Kita akan bertemu lagi,male
39_SUB2,SUB2,Menurutku sebaiknya kamu minta maaf,male
40_SUB2,SUB2,Ada banyak hal yang ingin kami bicarakan,male
41_SUB2,SUB2,Kami akan segera sampai,male
42_SUB2,SUB2,Saya bukan seorang penjahat,male
43_SUB2,SUB2,Waktu berjalan begitu cepat,male
44_SUB2,SUB2,Sekarang waktunya tidur,male
45_SUB2,SUB2,Dukunglah dia untuk membuat keputusannya sendiri,male
46_SUB2,SUB2,Kamu adalah orang yang humoris,male
47_SUB2,SUB2,Saya akan pergi berenang sore ini,male
48_SUB2,SUB2,Hari ini harus bekerja,male
49_SUB2,SUB2,"Kita semua pernah melakukan kesalahan, itulah hidup",male
50_SUB2,SUB2,Pekerjaan tidak selesai tepat waktu,male
1_SUB3,SUB3,Saya harap Anda bisa mengerti,male
2_SUB3,SUB3,Ide-idemu sangat kreatif,male
3_SUB3,SUB3,Saya punya nomornya di sini,male
4_SUB3,SUB3,Mengapa kamu marah?,male
5_SUB3,SUB3,Berapa suhu tubuhmu kemarin?,male
6_SUB3,SUB3,Dia dinyatakan tidak bersalah di pengadilan,male
7_SUB3,SUB3,Kami memiliki kepercayaan penuh padamu,male
8_SUB3,SUB3,Mereka adalah teman baik,male
9_SUB3,SUB3,Wajahmu terlihat sangat pucat,male
10_SUB3,SUB3,Bumbu penyedap menambah cita rasa,male
11_SUB3,SUB3,Dia memang benar-benar pembuat masalah,male
12_SUB3,SUB3,Bos Anda masih tergolong cukup baik,male
13_SUB3,SUB3,Perkataannya tidak perlu dianggap serius,male
14_SUB3,SUB3,Boleh saya minta tolong?,male
15_SUB3,SUB3,Mari kita makan di kantin saja,male
16_SUB3,SUB3,Bisa bantu saya sebentar?,male
17_SUB3,SUB3,Dia bekerja dengan sangat tidak hati-hati,male
18_SUB3,SUB3,Silakan tanda tangan di sini,male
19_SUB3,SUB3,Kapan kamu bisa datang?,male
20_SUB3,SUB3,Besok tidak perlu sekolah,male
21_SUB3,SUB3,Tapi semua hal baik pasti ada akhirnya,male
22_SUB3,SUB3,Apa pekerjaan Anda?,male
23_SUB3,SUB3,Kamu seharusnya bicara dengannya,male
24_SUB3,SUB3,Pesawat Anda terlambat,male
25_SUB3,SUB3,Ini surat undangan untuk Anda,male
26_SUB3,SUB3,Dia selalu senang membantu orang lain,male
27_SUB3,SUB3,Saya ingin makan sesuatu,male
28_SUB3,SUB3,Bertemu teman baru sangat menyenangkan,male
29_SUB3,SUB3,Saya sudah ada janji besok,male
30_SUB3,SUB3,Berapa suhu tubuh Anda sekarang?,male
31_SUB3,SUB3,Kami akan segera menyelesaikan masalahnya,male
32_SUB3,SUB3,Dia selalu fokus pada uang,male
33_SUB3,SUB3,Mungkin kita akan mendapatkan inspirasi secara tidak sengaja,male
34_SUB3,SUB3,Bagaimana perkembangan bisnis Anda?,male
35_SUB3,SUB3,Saya pikir Anda sudah tahu,male
36_SUB3,SUB3,Telepon saya kalau sudah sampai,male
37_SUB3,SUB3,Kurangi makan roti dan kentang,male
38_SUB3,SUB3,Apakah sepeda itu milikmu?,male
39_SUB3,SUB3,Kamu baik sekali,male
40_SUB3,SUB3,Dulu kami sering mengobrol,male
41_SUB3,SUB3,Beberapa orang tidak suka sayur,male
42_SUB3,SUB3,Kami berkenalan melalui internet,male
43_SUB3,SUB3,Kamu adalah teman sejatiku,male
44_SUB3,SUB3,Terima kasih atas informasi yang Anda berikan,male
45_SUB3,SUB3,Bagaimana kamu bisa tahu?,male
46_SUB3,SUB3,"Tetap berkabar ya, sampai jumpa",male
47_SUB3,SUB3,Kamu sedang mencari masalah,male
48_SUB3,SUB3,Jadwal kita sangat ketat,male
49_SUB3,SUB3,Dia menangis terharu di hari pernikahannya,male
50_SUB3,SUB3,"Halo, apa kabar?",male
1_SUB4,SUB4,Hasilnya sedikit mengejutkan,male
2_SUB4,SUB4,Tolong fotokopi laporan ini,male
3_SUB4,SUB4,Bagaimana kabarmu belakangan ini?,male
4_SUB4,SUB4,Saya tidak berpikir demikian,male
5_SUB4,SUB4,"Pekerjaan sangat sibuk, mohon pengertiannya",male
6_SUB4,SUB4,"Aku merindukanmu, kawan",male
7_SUB4,SUB4,"Jangan percaya padanya, dia seorang penipu",male
8_SUB4,SUB4,Anda terlihat sangat tertekan,male
9_SUB4,SUB4,Saya suka mencoba resep-resep baru,male
10_SUB4,SUB4,Dia lupa bersiap-siap untuk pidatonya,male
