id,subject,sentence,gender
1_SUB2,SUB2,siapa wanita itu,male
2_SUB2,SUB2,anda benar benar kakek yang murah hati,male
3_SUB2,SUB2,cobalah besok pagi,male
4_SUB2,SUB2,selamat sore nona ada yang bisa dibantu,male
5_SUB2,SUB2,untung saja ada orang baik yang menolong,male
6_SUB2,SUB2,anda ingin menelepon siapa,male
7_SUB2,SUB2,kalau begitu mari kita mulai,male
8_SUB2,SUB2,saya ingin makan siang di kamar,male
9_SUB2,SUB2,dalam beberapa bulan anda akan membaik,male
10_SUB2,SUB2,terima kasih telah berkata demikian,male
11_SUB2,SUB2,tolong segera pergi dari sini,male
12_SUB2,SUB2,selamat malam ada yang bisa dibantu,male
13_SUB2,SUB2,lagi sibuk apa belakangan ini,male
14_SUB2,SUB2,silakan beri tahu saya nama lengkap anda,male
15_SUB2,SUB2,sampaikan salam saya untuk mereka,male
16_SUB2,SUB2,kami semua sedang menunggumu,male
17_SUB2,SUB2,aku akan mengajarimu cara membuat omelet,male
18_SUB2,SUB2,biar saya bantu bukakan pintunya,male
19_SUB2,SUB2,senang bisa membantu anda,male
20_SUB2,SUB2,mari kita makan di luar,male
21_SUB2,SUB2,selamat sore ada yang bisa saya bantu,male
22_SUB2,SUB2,apakah anda sudah makan siang,male
23_SUB2,SUB2,silakan tanya saya kapan saja,male
24_SUB2,SUB2,kita harus memberitahunya,male
25_SUB2,SUB2,kamu benar benar menjadi lebih sehat,male
26_SUB2,SUB2,saya merasa kasihan pada orang tua itu,male
27_SUB2,SUB2,dia terkena serangan jantung tadi malam,male
28_SUB2,SUB2,nafsu makan saya cukup baik,male
29_SUB2,SUB2,menurutku masakan tiongkok sangat lezat,male
30_SUB2,SUB2,saya sangat sibuk hari ini butuh bantuan,male
31_SUB2,SUB2,aku akan telepon lagi nanti,male
32_SUB2,SUB2,saya sangat senang bertemu teman lama,male
33_SUB2,SUB2,saya tidak punya waktu luang sama sekali,male
34_SUB2,SUB2,kita bisa melakukannya besok,male
35_SUB2,SUB2,dia bukan orang yang penting,male
36_SUB2,SUB2,senang bertemu dengan anda lagi,male
37_SUB2,SUB2,apa yang bisa kami lakukan untuk anda,male
38_SUB2,SUB2,kita akan bertemu lagi,male
39_SUB2,SUB2,menurutku sebaiknya kamu minta maaf,male
40_SUB2,SUB2,ada banyak hal yang ingin kami bicarakan,male
41_SUB2,SUB2,kami akan segera sampai,male
42_SUB2,SUB2,saya bukan seorang penjahat,male
43_SUB2,SUB2,waktu berjalan begitu cepat,male
44_SUB2,SUB2,sekarang waktunya tidur,male
45_SUB2,SUB2,dukunglah dia untuk membuat keputusannya sendiri,male
46_SUB2,SUB2,kamu adalah orang yang humoris,male
47_SUB2,SUB2,saya akan pergi berenang sore ini,male
48_SUB2,SUB2,hari ini harus bekerja,male
49_SUB2,SUB2,kita semua pernah melakukan kesalahan itulah hidup,male
50_SUB2,SUB2,pekerjaan tidak selesai tepat waktu,male
1_SUB3,SUB3,saya harap anda bisa mengerti,male
2_SUB3,SUB3,ide idemu sangat kreatif,male
3_SUB3,SUB3,saya punya nomornya di sini,male
4_SUB3,SUB3,mengapa kamu marah,male
5_SUB3,SUB3,berapa suhu tubuhmu kemarin,male
6_SUB3,SUB3,dia dinyatakan tidak bersalah di pengadilan,male
7_SUB3,SUB3,kami memiliki kepercayaan penuh padamu,male
8_SUB3,SUB3,mereka adalah teman baik,male
9_SUB3,SUB3,wajahmu terlihat sangat pucat,male
10_SUB3,SUB3,bumbu penyedap menambah cita rasa,male
11_SUB3,SUB3,dia memang benar benar pembuat masalah,male
12_SUB3,SUB3,bos anda masih tergolong cukup baik,male
13_SUB3,SUB3,perkataannya tidak perlu dianggap serius,male
14_SUB3,SUB3,boleh saya minta tolong,male
15_SUB3,SUB3,mari kita makan di kantin saja,male
16_SUB3,SUB3,bisa bantu saya sebentar,male
17_SUB3,SUB3,dia bekerja dengan sangat tidak hati hati,male
18_SUB3,SUB3,silakan tanda tangan di sini,male
19_SUB3,SUB3,kapan kamu bisa datang,male
20_SUB3,SUB3,besok tidak perlu sekolah,male
21_SUB3,SUB3,tapi semua hal baik pasti ada akhirnya,male
22_SUB3,SUB3,apa pekerjaan anda,male
23_SUB3,SUB3,kamu seharusnya bicara dengannya,male
24_SUB3,SUB3,pesawat anda terlambat,male
25_SUB3,SUB3,ini surat undangan untuk anda,male
26_SUB3,SUB3,dia selalu senang membantu orang lain,male
27_SUB3,SUB3,saya ingin makan sesuatu,male
28_SUB3,SUB3,bertemu teman baru sangat menyenangkan,male
29_SUB3,SUB3,saya sudah ada janji besok,male
30_SUB3,SUB3,berapa suhu tubuh anda sekarang,male
31_SUB3,SUB3,kami akan segera menyelesaikan masalahnya,male
32_SUB3,SUB3,dia selalu fokus pada uang,male
33_SUB3,SUB3,mungkin kita akan mendapatkan inspirasi secara tidak sengaja,male
34_SUB3,SUB3,bagaimana perkembangan bisnis anda,male
35_SUB3,SUB3,saya pikir anda sudah tahu,male
36_SUB3,SUB3,telepon saya kalau sudah sampai,male
37_SUB3,SUB3,kurangi makan roti dan kentang,male
38_SUB3,SUB3,apakah sepeda itu milikmu,male
39_SUB3,SUB3,kamu baik sekali,male
40_SUB3,SUB3,dulu kami sering mengobrol,male
41_SUB3,SUB3,beberapa orang tidak suka sayur,male
42_SUB3,SUB3,kami berkenalan melalui internet,male
43_SUB3,SUB3,kamu adalah teman sejatiku,male
44_SUB3,SUB3,terima kasih atas informasi yang anda berikan,male
45_SUB3,SUB3,bagaimana kamu bisa tahu,male
46_SUB3,SUB3,tetap berkabar ya sampai jumpa,male
47_SUB3,SUB3,kamu sedang mencari masalah,male
48_SUB3,SUB3,jadwal kita sangat ketat,male
49_SUB3,SUB3,dia menangis terharu di hari pernikahannya,male
50_SUB3,SUB3,halo apa kabar,male
1_SUB4,SUB4,hasilnya sedikit mengejutkan,male
2_SUB4,SUB4,tolong fotokopi laporan ini,male
3_SUB4,SUB4,bagaimana kabarmu belakangan ini,male
4_SUB4,SUB4,saya tidak berpikir demikian,male
5_SUB4,SUB4,pekerjaan sangat sibuk mohon pengertiannya,male
6_SUB4,SUB4,aku merindukanmu kawan,male
7_SUB4,SUB4,jangan percaya padanya dia seorang penipu,male
8_SUB4,SUB4,anda terlihat sangat tertekan,male
9_SUB4,SUB4,saya suka mencoba resep resep baru,male
10_SUB4,SUB4,dia lupa bersiap siap untuk pidatonya,male
11_SUB4,SUB4,perkataannya membingungkan,male
12_SUB4,SUB4,saya tersesat apakah anda bisa membantu,male
13_SUB4,SUB4,kamu adalah sahabat terbaikku,male
14_SUB4,SUB4,bisa tolong bantu siram bunga,male
15_SUB4,SUB4,bagaimana kesehatanmu akhir akhir ini,male
16_SUB4,SUB4,terima kasih banyak atas bantuannya,male
