id,subject,sentence,gender
1_SUB1,SUB1,tolong beri saya lihat menunya,male
4_SUB1,SUB1,dia memakai topeng wajahnya tidak terlihat,male
5_SUB1,SUB1,halo ada yang bisa saya bantu,male
6_SUB1,SUB1,dia adalah pahlawan di kota ini,male
7_SUB1,SUB1,selamat datang silakan masuk,male
8_SUB1,SUB1,makan siang berikutnya aku yang traktir,male
9_SUB1,SUB1,kami menyukai hasil kerja anda,male
10_SUB1,SUB1,anda salah sambung salah tekan nomor,male
11_SUB1,SUB1,sudah lama ya bagaimana kabarmu,male
12_SUB1,SUB1,saya punya rencana lain hari itu,male
13_SUB1,SUB1,apa yang kita makan untuk makan siang,male
14_SUB1,SUB1,apakah kalian sudah selesai makan,male
16_SUB1,SUB1,semoga cara anda berhasil,male
17_SUB1,SUB1,anda bisa mencetaknya,male
18_SUB1,SUB1,sayur sayurannya sangat segar,male
19_SUB1,SUB1,saya tidak akan minta maaf itu bukan salah saya,male
20_SUB1,SUB1,kami akan bertanggung jawab atas kekeliruan ini,male
23_SUB1,SUB1,apakah ada yang menelepon,male
25_SUB1,SUB1,silakan nikmati perjalanan anda,male
26_SUB1,SUB1,kamu pantas mendapatkan orang yang lebih baik,male
27_SUB1,SUB1,bagaimana kabar ibumu sekarang,male
28_SUB1,SUB1,maaf saya telah menunda pekerjaan,male
29_SUB1,SUB1,tidurlah lebih awal malam ini,male
31_SUB1,SUB1,saya rasa dia adalah seorang tukang pos,male
32_SUB1,SUB1,saya tidak sengaja menabrak saat sedang parkir,male
34_SUB1,SUB1,senang sekali anda bisa datang,male
35_SUB1,SUB1,dia sudah tertidur,male
36_SUB1,SUB1,dia membuatku merinding,male
37_SUB1,SUB1,hari ini ingin makan apa,male
39_SUB1,SUB1,kamu terlihat luar biasa hari ini,male
40_SUB1,SUB1,teroris tidak menghargai kehidupan,male
41_SUB1,SUB1,menurut saya dia sangat luar biasa,male
43_SUB1,SUB1,dia tidak berani bertanya kepadanya,male
44_SUB1,SUB1,sepertinya saya tidak setuju dengan pendapat anda,male
45_SUB1,SUB1,saya ingin lebih mengenalnya,male
46_SUB1,SUB1,mohon tunggu sebentar saya perlu menanyakan beberapa hal,male
47_SUB1,SUB1,saya benar benar minta maaf,male
48_SUB1,SUB1,silakan datang kembali,male
50_SUB1,SUB1,saya tidak bisa memotong pembicaraannya,male
51_SUB1,SUB1,siapa wanita itu,male
54_SUB1,SUB1,selamat sore nona ada yang bisa dibantu,male
55_SUB1,SUB1,untung saja ada orang baik yang menolong,male
56_SUB1,SUB1,anda ingin menelepon siapa,male
57_SUB1,SUB1,kalau begitu mari kita mulai,male
62_SUB1,SUB1,selamat malam ada yang bisa dibantu,male
63_SUB1,SUB1,lagi sibuk apa belakangan ini,male
